id,Country,Date,Measure_L1,Measure_L2,Measure_L3
ALB,Albania,2020-03-28,Resource allocation,Crisis management plans,Financial aid for health system
ALB,Albania,2020-03-29,Resource allocation,Provide international help,Send medical staff
ALB,Albania,2020-04-10,Public Healthcare,Increase in medical supplies and equipment,Respirators
ALB,Albania,2020-04-12,Public Healthcare,Increase availability of PPE,PPE for healthcare professionals
ALB,Albania,2020-04-25,Public Healthcare,Enhance laboratory testing capacity,Increase testing capacity (number tests)
ALB,Albania,2020-04-25,Public Healthcare,Increase availability of PPE,PPE for healthcare professionals
ALB,Albania,2020-04-27,Returning to normal life,Lift restriction on indoor gatherings,Adaptive measure(s) for shops
ALB,Albania,2020-04-27,Returning to normal life,Lift restriction on individual movements,Partial lift of the curfew
ALB,Albania,2020-04-27,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
ALB,Albania,2020-04-27,Returning to normal life,Lift restriction on indoor gatherings,Resume private services
ALB,Albania,2020-04-27,Returning to normal life,Lift restriction on individual movements,Allow movements for non-essential activities
ALB,Albania,2020-04-27,Returning to normal life,Lift restriction on individual movements,Partial lift of the curfew
ALB,Albania,2020-04-27,Returning to normal life,Lift restriction on individual movements,Private transports allowed
ALB,Albania,2020-05-04,Returning to normal life,Lift restriction on individual movements,Allow movements for non-essential activities
ALB,Albania,2020-05-04,Returning to normal life,Lift restriction on individual movements,Partial lift of the curfew
ALB,Albania,2020-05-04,Returning to normal life,Lift restriction on individual movements,Private transports allowed
ALB,Albania,2020-03-15,Travel restriction,Public transport restriction,Public transport ban
ALB,Albania,2020-03-13,Travel restriction,Individual movement restrictions,Movements for non-essential†activities forbidden
ALB,Albania,2020-03-13,Travel restriction,Public transport restriction,Public transport ban
AUT,Austria,2020-01-27,Risk communication,Travel alert and warning,Discourage non-essential travels
AUT,Austria,2020-01-27,Risk communication,Educate and actively communicate with the public,Inform and/or answer to questions
AUT,Austria,2020-01-27,Contact tracing,Airport health check,Temperature screening at airport
AUT,Austria,2020-01-28,Contact tracing,Activate case notification,Covid-19 as a notifiable disease
AUT,Austria,2020-01-28,Risk communication,Travel alert and warning,Travel alert 3
AUT,Austria,2020-01-28,Contact tracing,Isolation of cases,
AUT,Austria,2020-01-29,Travel restriction,Airport restriction,Cancellation of international flights
AUT,Austria,2020-02-02,Social distancing,Measures for special populations,Return operation of nationals
AUT,Austria,2020-02-03,Travel restriction,Airport restriction,Cancellation of international flights
AUT,Austria,2020-02-06,Contact tracing,Airport health check,Temperature screening at airport
AUT,Austria,2020-02-10,Resource allocation,Activate or establish emergency response,Risk management plan
AUT,Austria,2020-02-24,Risk communication,Educate and actively communicate with the public,Direct government communication
AUT,Austria,2020-02-24,Risk communication,Educate and actively communicate with the public,Inform and/or answer to questions
AUT,Austria,2020-02-24,Risk communication,Educate and actively communicate with the public,Inform and/or answer to questions
AUT,Austria,2020-02-27,Public Healthcare,Adapt procedures for patient management,Case management
AUT,Austria,2020-02-27,Contact tracing,Tracing and tracking,Contact tracing
AUT,Austria,2020-02-27,Risk communication,Actively communicate with managers,Guidelines for educational institutions
AUT,Austria,2020-02-27,Resource allocation,Activate or establish emergency response,Risk management plan
AUT,Austria,2020-02-28,Resource allocation,Crisis management plans,Financial aid for health system
AUT,Austria,2020-02-28,Public Healthcare,Enhance laboratory testing capacity,Increase testing capacity (number tests)
AUT,Austria,2020-02-29,Public Healthcare,Adapt procedures for patient management,Implement triage procedures
AUT,Austria,2020-02-29,Resource allocation,Activate or establish emergency response,Risk management plan
AUT,Austria,2020-03-03,Contact tracing,Airport health check,Temperature screening at airport
AUT,Austria,2020-03-05,Risk communication,Travel alert and warning,Travel alert level 5
AUT,Austria,2020-03-05,Risk communication,Travel alert and warning,Travel alert level 6
AUT,Austria,2020-03-06,Travel restriction,Airport restriction,Cancellation of international flights
AUT,Austria,2020-03-06,Contact tracing,Airport health check,Health certificate requested at airport
AUT,Austria,2020-03-10,Risk communication,Educate and actively communicate with the public,Communication targets nationals living or travelling abroad
AUT,Austria,2020-03-10,Social distancing,Indoor gathering restriction,Cultural places and events
AUT,Austria,2020-03-10,Contact tracing,Border health check,Health certificate requested to enter the country
AUT,Austria,2020-03-10,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2020-03-10,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2020-03-10,Social distancing,Outdoor gathering restriction,Unspecified
AUT,Austria,2020-03-10,Social distancing,Measures for special populations,Return operation of nationals
AUT,Austria,2020-03-10,Risk communication,Travel alert and warning,Travel alert level 6
AUT,Austria,2020-03-11,Risk communication,Educate and actively communicate with the public,Communication targets protection of vulnerable populations
AUT,Austria,2020-03-13,Resource allocation,Measures to ensure security of supply,Traffic enactments
AUT,Austria,2020-03-13,Risk communication,Travel alert and warning,Travel alert level 4
AUT,Austria,2020-03-14,Risk communication,Educate and actively communicate with the public,Communication targets nationals living or travelling abroad
AUT,Austria,2020-03-16,Social distancing,Indoor gathering restriction,Closure of non-essential shops and/or businesses
AUT,Austria,2020-03-16,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
AUT,Austria,2020-03-16,Social distancing,Closure of educational institutions,Closure of universities
AUT,Austria,2020-03-16,Social distancing,Indoor and outdoor gathering restriction,Complete prohibition of gathering
AUT,Austria,2020-03-16,Travel restriction,Border restriction,Entry ban to people from high-risk areas
AUT,Austria,2020-03-16,Social distancing,Work safety protocols,Implement part-time work
AUT,Austria,2020-03-16,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2020-03-16,Social distancing,Indoor and outdoor gathering restriction,In public and semi-public spaces
AUT,Austria,2020-03-16,Social distancing,Measures for special populations,Measures to limit contact to hospital patients
AUT,Austria,2020-03-16,Travel restriction,Individual movement restrictions,Movements for non-essential†activities forbidden
AUT,Austria,2020-03-16,Travel restriction,National lockdown,
AUT,Austria,2020-03-17,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
AUT,Austria,2020-03-17,Risk communication,Educate and actively communicate with the public,Communication targets nationals living or travelling abroad
AUT,Austria,2020-03-17,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2020-03-17,Resource allocation,Crisis management plans,"State aid, taxation and social security"
AUT,Austria,2020-03-18,Social distancing,Closure of educational institutions,Closure of kindergartens
AUT,Austria,2020-03-18,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
AUT,Austria,2020-03-18,Risk communication,Educate and actively communicate with the public,Direct advice to vulnerable populations
AUT,Austria,2020-03-18,Social distancing,Measures for special populations,Measures to limit contact to the elderly
AUT,Austria,2020-03-18,Social distancing,Measures for special populations,Measures to protect most exposed professionals (not healthcare)
AUT,Austria,2020-03-19,Social distancing,Outdoor gathering restriction,Closure of outdoor sport and leisure facilities
AUT,Austria,2020-03-19,Contact tracing,Quarantine,Incoming travellers
AUT,Austria,2020-03-19,Travel restriction,Airport restriction,Entry ban to travellers
AUT,Austria,2020-03-19,Travel restriction,Border restriction,Land borders closed
AUT,Austria,2020-03-20,Risk communication,Educate and actively communicate with the public,Communication targets nationals living or travelling abroad
AUT,Austria,2020-03-20,Risk communication,Educate and actively communicate with the public,Direct government communication
AUT,Austria,2020-03-20,Travel restriction,Border restriction,Land border controls
AUT,Austria,2020-03-20,Social distancing,Work safety protocols,Mandatory home office
AUT,Austria,2020-03-20,Travel restriction,Individual movement restrictions,Movements for non-essential†activities forbidden
AUT,Austria,2020-03-21,Social distancing,Measures for special populations,Measure to protect adults in daycare centers
AUT,Austria,2020-03-23,Public Healthcare,Increase availability of PPE,PPE (not specified)
AUT,Austria,2020-03-23,Risk communication,Educate and actively communicate with the public,Promote social distancing measures
AUT,Austria,2020-03-23,Resource allocation,Measures to ensure security of supply,Traffic enactments
AUT,Austria,2020-03-26,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans
AUT,Austria,2020-03-30,Travel restriction,Border restriction,Entry ban to travellers
AUT,Austria,2020-03-30,Contact tracing,Quarantine,Incoming national citizens and/or residents
AUT,Austria,2020-03-30,Risk communication,Educate and actively communicate with the public,Inform and/or answer to questions
AUT,Austria,2020-03-30,Travel restriction,Border restriction,Land border controls
AUT,Austria,2020-03-30,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-03-30,Social distancing,Measures for special populations,Measures to protect vulnerable populations (non-elderly)
AUT,Austria,2020-04-01,Public Healthcare,Increase availability of PPE,Face masks
AUT,Austria,2020-04-14,Travel restriction,Border restriction,Conditional entry of travellers from neighboring countries
AUT,Austria,2020-04-14,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-04-14,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-04-14,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
AUT,Austria,2020-04-16,Risk communication,Travel alert and warning,Travel alert level 4
AUT,Austria,2020-04-16,Risk communication,Travel alert and warning,Travel alert level 5
AUT,Austria,2020-04-16,Risk communication,Travel alert and warning,Travel alert level 6
AUT,Austria,2020-04-20,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans
AUT,Austria,2020-04-23,Resource allocation,Measures to ensure security of supply,Traffic enactments
AUT,Austria,2020-05-01,Travel restriction,Border restriction,Conditional entry of travellers
AUT,Austria,2020-05-01,Returning to normal life,Lift border restrictions,Neighbouring countries
AUT,Austria,2020-05-01,Travel restriction,Border restriction,Conditional entry of travellers from neighboring countries
AUT,Austria,2020-05-01,Travel restriction,Airport restriction,Entry ban to travellers
AUT,Austria,2020-05-01,Returning to normal life,Lift airport restrictions,Landing bans on aircrafts from high risk areas
AUT,Austria,2020-05-01,Travel restriction,Public transport restriction,Train restriction
AUT,Austria,2020-05-01,Risk communication,Travel alert and warning,Travel alert
AUT,Austria,2020-05-02,Returning to normal life,Lift border restrictions,For certain workers
AUT,Austria,2020-05-02,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2020-05-02,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
AUT,Austria,2020-05-02,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor social spaces
AUT,Austria,2020-05-04,Returning to normal life,Re-opening of educational institutions,Classes with exams only
AUT,Austria,2020-05-15,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of restaurants/bars/cafes
AUT,Austria,2020-05-18,Returning to normal life,Lift border restrictions,For specific personal or professional reasons
AUT,Austria,2020-05-18,Returning to normal life,Lift travel restriction,Lift maritime restriction
AUT,Austria,2020-05-18,Returning to normal life,Re-opening of educational institutions,Re-opening of primary and secondary schools
AUT,Austria,2020-05-29,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of short-term accommodations and hotels
AUT,Austria,2020-05-29,Returning to normal life,Lift restriction on indoor gatherings,Resume private services
AUT,Austria,2020-05-29,Returning to normal life,Lift restriction on public transports,Resume public transport
AUT,Austria,2020-06-01,Returning to normal life,Lift restriction on outdoor gatherings,Organized events
AUT,Austria,2020-06-01,Resource allocation,Crisis management plans,Repurpose government plans
AUT,Austria,2020-06-05,Returning to normal life,Lift border restrictions,All restrictions lifted
AUT,Austria,2020-06-09,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans
AUT,Austria,2020-06-15,Returning to normal life,Lift personal protective measures,Lift obligation to cover mouth and nose in public
AUT,Austria,2020-06-15,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-06-16,Returning to normal life,Lift border restrictions,All restrictions lifted
AUT,Austria,2020-07-01,Risk communication,Travel alert and warning,Travel alert level 6
AUT,Austria,2020-07-08,Risk communication,Travel alert and warning,Travel alert level 6
AUT,Austria,2020-08-06,Risk communication,Travel alert and warning,Travel alert level 5
AUT,Austria,2020-08-17,Risk communication,Travel alert and warning,Travel alert level 6
AUT,Austria,2020-08-19,Risk communication,Travel alert and warning,Travel alert level 5
AUT,Austria,2020-08-27,Public Healthcare,Secure future access to anti-Covid19 medication and vaccine,Secure access to anti-Covid19 vaccine
AUT,Austria,2020-09-22,Social distancing,Outdoor gathering restriction,Organized events and private meetings without seat allocation
AUT,Austria,2020-09-22,Social distancing,Indoor gathering restriction,Organized events
AUT,Austria,2020-09-22,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-09-22,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-09-22,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-09-22,Social distancing,Special measures for certain establishments,Restaurants/bars/cafes
AUT,Austria,2020-09-28,Risk communication,Travel alert and warning,Travel alert level 6
AUT,Austria,2020-10-23,Resource allocation,Activate or establish emergency response,Emergency laws
AUT,Austria,2020-10-23,Social distancing,Indoor gathering restriction,Organized events
AUT,Austria,2020-10-23,Social distancing,Outdoor gathering restriction,Organized events and private meetings without seat allocation
AUT,Austria,2020-10-23,Social distancing,Outdoor gathering restriction,Organized events
AUT,Austria,2020-10-23,Social distancing,Indoor gathering restriction,Organized events and private meetings without seat allocation
AUT,Austria,2020-10-23,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-10-23,Social distancing,Measures for special populations,Measures to protect residents in nursing home
AUT,Austria,2020-10-23,Social distancing,Indoor and outdoor gathering restriction,Restriction on private and familial events
AUT,Austria,2020-10-26,Risk communication,Educate and actively communicate with the public,Direct government communication
AUT,Austria,2020-10-30,Risk communication,Educate and actively communicate with the public,Direct government communication
AUT,Austria,2020-11-01,Social distancing,Special measures for certain establishments,Special measures for the allowed gatherings
AUT,Austria,2020-11-02,Risk communication,Educate and actively communicate with the public,Direct government communication
AUT,Austria,2020-11-03,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
AUT,Austria,2020-11-03,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
AUT,Austria,2020-11-03,Social distancing,Indoor and outdoor gathering restriction,Closure of markets
AUT,Austria,2020-11-03,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
AUT,Austria,2020-11-03,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
AUT,Austria,2020-11-03,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
AUT,Austria,2020-11-03,Social distancing,Indoor gathering restriction,Closure of short-term accommodation
AUT,Austria,2020-11-03,Social distancing,Closure of educational institutions,Closure of specific schools/educational programmes
AUT,Austria,2020-11-03,Social distancing,Closure of educational institutions,Closure of universities
AUT,Austria,2020-11-03,Social distancing,Indoor gathering restriction,Cultural places and events
AUT,Austria,2020-11-03,Travel restriction,Individual movement restrictions,Curfew
AUT,Austria,2020-11-03,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans
AUT,Austria,2020-11-03,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans
AUT,Austria,2020-11-03,Social distancing,Indoor gathering restriction,Taxis and taxi-like operations
AUT,Austria,2020-11-03,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities
AUT,Austria,2020-11-03,Social distancing,Special measures for certain establishments,Non-essential shops and/or businesses
AUT,Austria,2020-11-03,Risk communication,Actively communicate with managers,Promote workplace safety measures
AUT,Austria,2020-11-03,Contact tracing,Enhance detection system,Targeted testing
AUT,Austria,2020-11-07,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-11-17,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-11-17,Risk communication,Actively communicate with managers,Guidelines for work-safety protocols
AUT,Austria,2020-11-17,Risk communication,Actively communicate with managers,Guidelines for educational institutions
AUT,Austria,2020-11-17,Social distancing,Indoor and outdoor gathering restriction,Mandatory distance between people
AUT,Austria,2020-11-17,Social distancing,Indoor gathering restriction,Taxis and taxi-like operations
AUT,Austria,2020-11-17,Social distancing,Indoor gathering restriction,Closure of non-essential shops and/or businesses
AUT,Austria,2020-11-17,Social distancing,Indoor gathering restriction,Suspend indoor social and leisure activities
AUT,Austria,2020-11-17,Social distancing,Indoor gathering restriction,Closure of non-essential shops and/or businesses
AUT,Austria,2020-11-17,Social distancing,Indoor gathering restriction,Cultural places and events
AUT,Austria,2020-11-17,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
AUT,Austria,2020-11-17,Social distancing,Indoor gathering restriction,Closure of close contact services
AUT,Austria,2020-11-17,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
AUT,Austria,2020-11-17,Social distancing,Special measures for certain establishments,Restaurants
AUT,Austria,2020-11-17,Social distancing,Indoor and outdoor gathering restriction,Restriction on private and familial events
AUT,Austria,2020-11-17,Social distancing,Indoor gathering restriction,Closure of short-term accommodation
AUT,Austria,2020-11-17,Social distancing,Measures for special populations,Measures to protect residents in nursing home
AUT,Austria,2020-11-17,Social distancing,Measures for special populations,Measures to limit contact to hospital patients
AUT,Austria,2020-11-17,Social distancing,Measures for special populations,Measures to limit contact to hospital patients
AUT,Austria,2020-11-17,Travel restriction,National lockdown,
AUT,Austria,2020-11-17,Travel restriction,Public transport restriction,Public transport ban
AUT,Austria,2020-12-07,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-12-07,Returning to normal life,Re-opening of educational institutions,Re-opening of kindergartens
AUT,Austria,2020-12-07,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of certain shops and businesses
AUT,Austria,2020-12-07,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
AUT,Austria,2020-12-07,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
AUT,Austria,2020-12-07,Risk communication,Educate and actively communicate with the public,Promote social distancing measures
AUT,Austria,2020-12-07,Risk communication,Actively communicate with managers,Guidelines for work-safety protocols
AUT,Austria,2020-12-07,Risk communication,Actively communicate with managers,Guidelines for educational institutions
AUT,Austria,2020-12-07,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on familial and private gatherings
AUT,Austria,2020-12-07,Social distancing,Indoor gathering restriction,Taxis and taxi-like operations
AUT,Austria,2020-12-07,Returning to normal life,Re-opening of educational institutions,Classes with exams only
AUT,Austria,2020-12-07,Social distancing,Closure of educational institutions,Closure of universities
AUT,Austria,2020-12-07,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities
AUT,Austria,2020-12-07,Contact tracing,Enhance detection system,Negative test required to access institutions/services/facilities
AUT,Austria,2020-12-07,Contact tracing,Enhance detection system,Negative test required to access institutions/services/facilities
AUT,Austria,2020-12-07,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
AUT,Austria,2020-12-07,Social distancing,Indoor gathering restriction,Closure of short-term accommodation
AUT,Austria,2020-12-07,Social distancing,Indoor and outdoor gathering restriction,Organized events
AUT,Austria,2020-12-07,Social distancing,Indoor and outdoor gathering restriction,Sport events
AUT,Austria,2020-12-07,Social distancing,Indoor and outdoor gathering restriction,Restriction on private and familial events
AUT,Austria,2020-12-07,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
AUT,Austria,2020-12-07,Travel restriction,National lockdown,
AUT,Austria,2020-12-07,Travel restriction,Public transport restriction,Public transport ban
AUT,Austria,2020-12-07,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Sport competitors can resume training
AUT,Austria,2020-12-07,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
AUT,Austria,2020-12-07,Travel restriction,Individual movement restrictions,Curfew
AUT,Austria,2020-12-19,Contact tracing,Quarantine,Incoming travellers
AUT,Austria,2020-12-19,Risk communication,Travel alert and warning,Discourage non-essential travels
AUT,Austria,2020-12-20,Social distancing,Measures for special populations,Measures to protect residents in nursing home
AUT,Austria,2020-12-20,Social distancing,Measures for special populations,Measures to protect residents in nursing home
AUT,Austria,2020-12-20,Risk communication,Actively communicate with healthcare professionals,Guidelines for medical and paramedical centers
AUT,Austria,2020-12-20,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-12-20,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor attractions and touristic sites
AUT,Austria,2020-12-20,Returning to normal life,Lift restriction on indoor gatherings,Re-opening of cultural institutions/entertainment venues
AUT,Austria,2020-12-20,Social distancing,Measures for public transport,Mandatory distance between people
AUT,Austria,2020-12-20,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-12-22,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2020-12-24,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2020-12-24,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
AUT,Austria,2020-12-24,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on familial and private gatherings
AUT,Austria,2020-12-25,Returning to normal life,Lift restriction on indoor and outdoor gatherings,Lift ban on familial and private gatherings
AUT,Austria,2020-12-26,Social distancing,Indoor and outdoor gathering restriction,Restriction on private and familial events
AUT,Austria,2020-12-30,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2020-12-30,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2021-01-09,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2021-01-10,Travel restriction,National lockdown,
AUT,Austria,2021-01-10,Social distancing,Indoor gathering restriction,Closure of close contact services
AUT,Austria,2021-01-10,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
AUT,Austria,2021-01-10,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
AUT,Austria,2021-01-10,Social distancing,Indoor gathering restriction,Closure of short-term accommodation
AUT,Austria,2021-01-10,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
AUT,Austria,2021-01-10,Social distancing,Indoor gathering restriction,Cultural places and events
AUT,Austria,2021-01-10,Social distancing,Outdoor gathering restriction,Closure of outdoor sport and leisure facilities
AUT,Austria,2021-01-20,Travel restriction,National lockdown,
AUT,Austria,2021-01-23,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2021-01-23,Travel restriction,Airport restriction,Landing bans on aircrafts from high risk areas
AUT,Austria,2021-01-25,Social distancing,Measures for public transport,Mandatory distance between people
AUT,Austria,2021-01-25,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2021-01-25,Social distancing,Indoor gathering restriction,Limit up to 2 persons per row of seats
AUT,Austria,2021-01-25,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2021-01-25,Social distancing,Indoor gathering restriction,Closure of non-essential services
AUT,Austria,2021-01-25,Social distancing,Indoor gathering restriction,Closure of close contact services
AUT,Austria,2021-01-25,Social distancing,Indoor gathering restriction,Closure of short-term accommodation
AUT,Austria,2021-01-25,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2021-01-25,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2021-01-25,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2021-01-25,Public Healthcare,Personal protective measures,Mandatory use of masks
AUT,Austria,2021-01-25,Contact tracing,Enhance detection system,Targeted testing
AUT,Austria,2021-01-25,Social distancing,Indoor gathering restriction,Cultural places and events
AUT,Austria,2021-01-25,Social distancing,Outdoor gathering restriction,Closure of outdoor sport and leisure facilities
AUT,Austria,2021-01-25,Returning to normal life,Lift restriction on outdoor gatherings,Re-opening of outdoor sport and leisure facilities
AUT,Austria,2020-02-23,Risk communication,Educate and actively communicate with the public,Inform and/or answer to questions
AUT,Austria,2020-03-17,Travel restriction,Cordon sanitaire,One region
AUT,Austria,2020-03-16,Travel restriction,Cordon sanitaire,More than one city
AUT,Austria,2020-03-18,Travel restriction,Cordon sanitaire,One region
AUT,Austria,2020-11-03,Social distancing,Measures for special populations,Measures to limit contact to hospital patients
AUT,Austria,2020-02-28,Resource allocation,Activate or establish emergency response,Risk management plan
AUT,Austria,2020-03-16,Public Healthcare,Increase patient capacity,Beds
AUT,Austria,2020-03-19,Travel restriction,Airport restriction,Cancellation of international flights
AUT,Austria,2020-03-19,Contact tracing,Quarantine,Incoming national citizens and/or residents
AUT,Austria,2020-10-28,Public Healthcare,Enhance laboratory testing capacity,Increase testing capacity (number tests)
AUT,Austria,2020-11-17,Travel restriction,National lockdown,
AUT,Austria,2020-12-07,Returning to normal life,Re-opening of educational institutions,Re-opening of primary schools
AUT,Austria,2020-12-07,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
